PIA1.93
09 Mar 2020	17:44
PIEZO TYPE	PI 15 um
COMMENTS	
SCAN TYPE	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X	Z scan at fixed X	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X
VERTICAL WAVEFORM	custom
LATERAL WAVEFORM	custom
SCAN STEPS	Down	Front	Down	Pause	Up	Back	Down
SCAN SPEED [nm/sec]	125000	125000	125000	0	125000	250000	250000
PAUSE [sec]	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CHANNELS	vertical deflection, lateral deflection
NUMBER OF FORCE CURVES	1
POINTS PER CURVE	3584
SCAN RATE [Hz]	0.833328	1.249988	12.498750	1.000000	0.480769	2.499975	2.500000
TRIGGER TYPE	no trigger
CANTILEVER NAME	
CANTILEVER TYPE	0
RESONANT FREQUENCY	0.000000
VERTICAL SPRING CONSTANT [N/m]	0.000000
VERTICAL CALIBRATION COEFFICIENT [µN/V]	1.000000
OPTIC SENSOR FORCE-VOLTAGE RELATION [µN]	0+(-3.464847548173025E+3*x^0)+(4.166399346689978E+3*x^1)+(-4.272509255274562E+3*x^2)+(3.126702697620634E+3*x^3)+(-1.353651158969758E+3*x^4)+(3.443961871035622E+2*x^5)+(-4.749887193466130E+1*x^6)+(2.766192854606011E+0*x^7)
FRAME RATE [Hz]	29.999985
NUMBER OF FRAMES	36	23	2	29	62	12	12
PIEZO Z [nm]	PIEZO X [nm]	Time [s]	VERTICAL DEF	LATERAL DEF	AUX DEF
100146.05468750	200005.48437500	0.00102575	3.01086426	-0.07358551	NaN
100439.03125000	200005.48437500	0.00337032	3.01082611	-0.09143829	NaN
100731.99218750	200005.48437500	0.00571490	3.01044464	-0.08422852	NaN
101024.96875000	200005.48437500	0.00805947	3.00941467	-0.07389069	NaN
101317.94531250	200005.48437500	0.01040404	3.00888062	-0.07236481	NaN
101610.90625000	200005.48437500	0.01274861	3.01006317	-0.07522583	NaN
101903.88281250	200005.48437500	0.01509319	3.01090240	-0.07762909	NaN
102196.85156250	200005.48437500	0.01743776	3.00964355	-0.07694244	NaN
102489.82812500	200005.48437500	0.01978233	3.01132202	-0.07625580	NaN
102782.78906250	200005.48437500	0.02212690	3.01155090	-0.07568359	NaN
103075.76562500	200005.48437500	0.02447147	3.01086426	-0.08708954	NaN
103368.73437500	200005.48437500	0.02681605	3.00964355	-0.07919312	NaN
103661.71093750	200005.48437500	0.02916062	3.00865173	-0.07114410	NaN
103954.67968750	200005.48437500	0.03150519	3.00933838	-0.07366180	NaN
104247.64843750	200005.48437500	0.03384976	3.01147461	-0.08319855	NaN
104540.61718750	200005.48437500	0.03619434	3.00949097	-0.07324219	NaN
104833.59375000	200005.48437500	0.03853891	3.01006317	-0.07907867	NaN
105126.56250000	200005.48437500	0.04088348	3.01151276	-0.07389069	NaN
105419.52343750	200005.48437500	0.04322805	3.01086426	-0.08270264	NaN
105712.50000000	200005.48437500	0.04557263	3.00937653	-0.08068085	NaN
106005.47656250	200005.48437500	0.04791720	3.00846100	-0.07373810	NaN
106298.43750000	200005.48437500	0.05026177	3.00811768	-0.07171631	NaN
106591.41406250	200005.48437500	0.05260634	3.01017761	-0.07530212	NaN
106884.38281250	200005.48437500	0.05495092	3.01197052	-0.08037567	NaN
107177.35937500	200005.48437500	0.05729549	3.00956726	-0.07530212	NaN
107470.32031250	200005.48437500	0.05964006	3.01078796	-0.07751465	NaN
107763.29687500	200005.48437500	0.06198463	3.01040649	-0.07507324	NaN
108056.26562500	200005.48437500	0.06432921	3.01002502	-0.08838654	NaN
108349.24218750	200005.48437500	0.06667378	3.00899506	-0.08098602	NaN
108642.21093750	200005.48437500	0.06901835	3.00853729	-0.07057190	NaN
108935.17968750	200005.48437500	0.07136292	3.00933838	-0.07362366	NaN
109228.14843750	200005.48437500	0.07370750	3.00899506	-0.08083344	NaN
109521.12500000	200005.48437500	0.07605207	3.00636292	-0.07316589	NaN
