Date of Experiment	Data Folder	Measurement number	Measurement OK?	ROI Label	Sliding Speed [μm/s]	Detachment Speed [μm/s]	Attachment Speed [μm/s]	Contact Time [s]	Initial Deformation [μm]	Pulloff Deformation [μm]	Beam Spring Constant [μN/μm]	Beam Spring Constant Stdev [μN/μm]	Adhesion Energy [pJ]	Sliding Step	Slope [μN/μm]	Pulloff Force [μN]	Adhesion Preload [μN]	Vertical Force Stdev [μN]	Friction Force [μN]	Friction Preload [μN]	Lateral Force Stdev [μN]	Max Area [μm^2]	Pulloff Area [μm^2]	Friction Area [μm^2]	Residue Area [μm^2]	Max Bounding Area [μm^2]	Max Length [μm]	Pulloff Length [μm]	Max Bounding Perimeter [μm]	Max Bounding Length [μm]	Max Bounding Width [μm]	ROI Max Area [μm^2]	ROI Pulloff Area [μm^2]	ROI Max Length [μm]	ROI Pulloff Length [μm]	Pulloff Contact Number	Pulloff Median Eccentricity	Force data file	Zero-Force file	Video file	2nd Video file
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	1	Y	Distal	62.5	62.5	62.5	1	197.99828125	13.991944647213694	31.79	1.55	3332.6733347566956	Front	11.852060914099253	157.40947683394876	272.1186412634144	1.2865891996402399	260.4124154881479	347.43454902403886	1.6206171606272717	12003.696829304154	4304.82474190845	9151.672056466388	111.42523850335041	23309.622540011547	4725.531015807736	2010.4574511003664	593.856780385248	246.82313947677048	120.24291261227546	80407.0180479958	80407.0180479958	1068.7405579514316	1068.7405579514316	64	0.01635981225863785	speed62500_pause1s_pfots_dry-020		speed62500_pause1s_pfots_dry-11102020163211-0000	Basler_acA1300-200um__21927848__20201110_163232620
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	2	Y	Distal	62.5	62.5	62.5	1	202.39284375	11.562972795275966	31.79	1.55	3447.4875671116024	Front	13.33337285712808	159.27475876185719	260.97847443313725	0.9806349359963753	231.4914741509233	301.6759825628432	2.4583426678558067	11023.014130804633	4059.298357602366	8082.034285474681	1.405996700357747	21366.360095020835	4312.991432228503	1856.129026965655	590.407517300349	253.60364343443374	107.27170253397908	71264.3487543321	71264.3487543321	1046.5828955558677	1046.5828955558677	59	0.03704986112129484	speed62500_pause1s_pfots_dry-021		speed62500_pause1s_pfots_dry-11102020163444-0000	Basler_acA1300-200um__21927848__20201110_163449218
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	3	Y	Distal	62.5	62.5	62.5	1	217.041375	6.901029052696901	31.79	1.55	1746.932523125791	Front	11.911101934635902	130.12346225285228	186.6320813424536	1.250459456645215	166.43218564782592	211.1651177103961	1.6266151278198415	8205.045244112645	3631.5414627795867	5544.612961054564	-330.40922458406743	17015.896770323227	3493.51415433718	1836.507182176183	537.0722092211369	233.81015250401117	92.661984199917	58204.221154296654	58204.221154296654	913.9244200361074	913.9244200361074	64	0.029318464032749132	speed62500_pause1s_pfots_dry-022		speed62500_pause1s_pfots_dry-11102020163532-0000	Basler_acA1300-200um__21927848__20201110_163536651
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	4	Y	Distal	62.5	62.5	62.5	1	215.86946875	3.973804451542603	31.79	1.55	1837.9187912321693	Front	13.234644649098719	130.5955547475387	178.30407362557435	2.0185864086679906	161.0065680008638	198.99251329572462	2.4241230798461824	8215.941718540418	3326.111371524276	5276.632362313684	83.30530449619573	19062.316739053542	3567.1683532282646	1662.0176563545413	541.0282463629293	226.51855555596728	107.1474936208184	65409.60274445495	65409.60274445495	970.8059687135823	970.8059687135822	57	0.01912766603775802	speed62500_pause1s_pfots_dry-023		speed62500_pause1s_pfots_dry-11102020163617-0000	Basler_acA1300-200um__21927848__20201110_163621460
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	5	Y	Distal	62.5	62.5	62.5	1	200.635	11.830763799626554	31.79	1.55	4041.6537931032153	Front	13.418489433127139	192.82703441817011	271.0416960260079	0.8111031800966971	269.83092047685705	337.6490879082305	1.1898917025588251	11049.025069761252	4241.963545196689	8086.2564346500585	-28.119934007154676	20642.558766999628	4567.107347459115	2047.5784806939698	579.7025873811251	248.80572361040606	105.63632437901117	61025.880782327076	61025.880782327076	967.7488553528965	967.7488553528965	66	0.015340846445280169	speed62500_pause1s_pfots_dry-024		speed62500_pause1s_pfots_dry-11102020163720-0000	Basler_acA1300-200um__21927848__20201110_163723451
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	1	Y	Proximal	62.5	62.5	62.5	1	197.99828125	13.991944647213694	31.79	1.55	3332.6733347566956	Front	11.852060914099253	257.40947683394876	272.1186412634144	1.2865891996402399	260.4124154881479	347.43454902403886	1.6206171606272717	12003.696829304154	4304.82474190845	9151.672056466388	111.42523850335041	23309.622540011547	4725.531015807736	2010.4574511003664	593.856780385248	246.82313947677048	120.24291261227546	80407.0180479958	80407.0180479958	1068.7405579514316	1068.7405579514316	64	0.01635981225863785	speed62500_pause1s_pfots_dry-020		speed62500_pause1s_pfots_dry-11102020163211-0000	Basler_acA1300-200um__21927848__20201110_163232620
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	2	Y	Proximal	62.5	62.5	62.5	1	202.39284375	11.562972795275966	31.79	1.55	3447.4875671116024	Front	13.33337285712808	259.27475876185719	260.97847443313725	0.9806349359963753	231.4914741509233	301.6759825628432	2.4583426678558067	11023.014130804633	4059.298357602366	8082.034285474681	1.405996700357747	21366.360095020835	4312.991432228503	1856.129026965655	590.407517300349	253.60364343443374	107.27170253397908	71264.3487543321	71264.3487543321	1046.5828955558677	1046.5828955558677	59	0.03704986112129484	speed62500_pause1s_pfots_dry-021		speed62500_pause1s_pfots_dry-11102020163444-0000	Basler_acA1300-200um__21927848__20201110_163449218
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	3	Y	Proximal	62.5	62.5	62.5	1	217.041375	6.901029052696901	31.79	1.55	1746.932523125791	Front	11.911101934635902	230.12346225285228	186.6320813424536	1.250459456645215	166.43218564782592	211.1651177103961	1.6266151278198415	8205.045244112645	3631.5414627795867	5544.612961054564	-330.40922458406743	17015.896770323227	3493.51415433718	1836.507182176183	537.0722092211369	233.81015250401117	92.661984199917	58204.221154296654	58204.221154296654	913.9244200361074	913.9244200361074	64	0.029318464032749132	speed62500_pause1s_pfots_dry-022		speed62500_pause1s_pfots_dry-11102020163532-0000	Basler_acA1300-200um__21927848__20201110_163536651
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	4	Y	Proximal	62.5	62.5	62.5	1	215.86946875	3.973804451542603	31.79	1.55	1837.9187912321693	Front	13.234644649098719	230.5955547475387	178.30407362557435	2.0185864086679906	161.0065680008638	198.99251329572462	2.4241230798461824	8215.941718540418	3326.111371524276	5276.632362313684	83.30530449619573	19062.316739053542	3567.1683532282646	1662.0176563545413	541.0282463629293	226.51855555596728	107.1474936208184	65409.60274445495	65409.60274445495	970.8059687135823	970.8059687135822	57	0.01912766603775802	speed62500_pause1s_pfots_dry-023		speed62500_pause1s_pfots_dry-11102020163617-0000	Basler_acA1300-200um__21927848__20201110_163621460
10 Nov 2020	E:/Work/Data/20201110 male ladybug foreleg pfots dry	5	Y	Proximal	62.5	62.5	62.5	1	200.635	11.830763799626554	31.79	1.55	4041.6537931032153	Front	13.418489433127139	292.82703441817011	271.0416960260079	0.8111031800966971	269.83092047685705	337.6490879082305	1.1898917025588251	11049.025069761252	4241.963545196689	8086.2564346500585	-28.119934007154676	20642.558766999628	4567.107347459115	2047.5784806939698	579.7025873811251	248.80572361040606	105.63632437901117	61025.880782327076	61025.880782327076	967.7488553528965	967.7488553528965	66	0.015340846445280169	speed62500_pause1s_pfots_dry-024		speed62500_pause1s_pfots_dry-11102020163720-0000	Basler_acA1300-200um__21927848__20201110_163723451
